parameter,coef_log_scale,std_error,z_value,p_value,ci_lower_95_log_scale,ci_upper_95_log_scale,multiplicative_effect_on_one_plus_cases,multiplicative_ci_lower_95,multiplicative_ci_upper_95
time,0.20493012194942953,0.054030297869004124,3.7928741841527582,0.00014891361609109627,0.09903268405221022,0.31082755984664884,1.2274392909015086,1.1041023855091745,1.3645538970138194
major_outbreak_year,2.101205045582432,2.063495767005947,1.0182744637422734,0.3085475404993152,-1.9431723400000789,6.145582431164943,8.176016451118526,0.14324879432529158,466.6513622248231
ar.L1,0.41355188215710836,0.16398130017099127,2.5219453786857264,0.011670782875909481,0.09215443968391368,0.734949324630303,1.512179340487523,1.0965341573931027,2.0853763126117677
ar.L2,0.3853609950815451,0.18376766489701016,2.097001098084992,0.035993478136838376,0.02518299036037963,0.7455389998027105,1.4701449407526712,1.0255027604754638,2.1075771125360974
sigma2,0.9767031240331764,0.21692957087059506,4.502397345430646,6.71912112492177e-06,0.5515289779450809,1.4018772701212718,2.6556863247889093,1.735905150514448,4.062819822604199
