order,k,aic,min_ar_p_value,max_ar_p_value,ar_p_values,all_ar_p_values_below_0_05,ljung_box_min_p_value,ljung_box_result,converged,selection_error,selected,selection_rule,model_family,order_selection_rule,n,m,min_arma_p_value,max_arma_p_value,arma_p_values,all_arma_p_values_below_0_05
"(2, 0, 0)",2.0,88.8007283473203,0.011670782875909481,0.035993478136838376,ar.L1=0.01167; ar.L2=0.03599,True,0.5088234335893569,no residual autocorrelation detected at alpha=0.05,True,,True,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05,best_ar_k,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05,,,,,,
"(2, 0, 0)",,88.8007283473203,,,,,0.5088234335893569,no residual autocorrelation detected at alpha=0.05,True,,True,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05,best_arma_n_m,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05,2.0,0.0,0.011670782875909481,0.035993478136838376,ar.L1=0.01167; ar.L2=0.03599,True
