parameter,coef_log_scale,std_error,z_value,p_value,ci_lower_95_log_scale,ci_upper_95_log_scale,multiplicative_effect_on_one_plus_cases,multiplicative_ci_lower_95,multiplicative_ci_upper_95
intercept,4.587476096274159,0.2763077588957907,16.602776970893252,6.653995087312748e-62,4.045922840189433,5.129029352358885,98.24615314812168,57.16391485828028,168.85314157251128
time,-0.003120820165207724,0.015074971310408048,-0.20701997376625522,0.8359942595768262,-0.03266722100158208,0.026425580671166633,0.9968840445321131,0.9678605896812766,1.0267778323012016
outbreak_2014,1.9730928035082609,4907.290078295695,0.000402073806933687,0.9996791915257882,-9616.138722346795,9620.084907953811,7.192888312444649,0.0,inf
outbreak_2019,2.635054772758723,10287.180265929559,0.000256149372776702,0.9997956223724371,-20159.86776892035,20165.13787846587,13.944076197767941,0.0,inf
outbreak_2025,3.2375705814642988,32598.521576605523,9.931648506991667e-05,0.9999207569100598,-63888.690668817224,63895.16580998015,25.471764940433445,0.0,inf
sigma2,0.5156327139121146,0.1343882929168202,3.836887147835609,0.0001246036961729088,0.2522364998513278,0.7790289279729015,1.674697771233384,1.2869003530402745,2.1793549270137555
