,coef,std_error,z_value,p_value,ci_lower_95,ci_upper_95,IRR,IRR_ci_lower_95,IRR_ci_upper_95
const,11.234239580281809,0.0005287332988834619,21247.459927349777,0.0,11.23320328205857,11.235275878505048,75677.7581309679,75599.37402634705,75756.22350700053
time,0.0010963903971009104,5.254408306152495e-05,20.86610581475224,1.0884795344350803e-96,0.0009934058866996403,0.0011993749075021804,1.0010969916527692,1.0009938994777594,1.001200094445223
outbreak_2014,0.011055804833848049,0.0008478101415836115,13.040425316447713,7.205397503392753e-39,0.009394127490616366,0.012717482177079732,1.0111171460946875,1.009438390802763,1.0127986932551951
outbreak_2019,0.01790295641707207,0.0007650882251530747,23.399858772483583,4.287747706626415e-121,0.01640341105077637,0.01940250178336777,1.0180641750006583,1.016538685640551,1.01959195361726
outbreak_2025,0.028597714709775346,0.0012516028397621384,22.848873301701854,1.4995732895435567e-115,0.0261446182208935,0.031050811198657192,1.0290105553898785,1.0264893868086258,1.0315379162329286
