order,k,aic,min_ar_p_value,max_ar_p_value,ar_p_values,all_ar_p_values_below_0_05,ljung_box_min_p_value,ljung_box_result,converged,selection_error,selected,selection_rule
"(0, 0, 0)",0,133.96599251513567,,,,False,1.5724063172211996e-10,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05
"(1, 0, 0)",1,93.5448337449147,9.666105909272674e-07,9.666105909272674e-07,ar.L1=9.666e-07,True,0.32873827550674894,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05
"(2, 0, 0)",2,88.8007283473203,0.011670782875909481,0.035993478136838376,ar.L1=0.01167; ar.L2=0.03599,True,0.5088234335893569,no residual autocorrelation detected at alpha=0.05,True,,True,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05
"(3, 0, 0)",3,84.71567376787658,0.03411286462963627,0.5461120510516155,ar.L1=0.03411; ar.L2=0.5461; ar.L3=0.1495,False,0.08210467050998017,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05
"(4, 0, 0)",4,84.38742885624478,0.17461026704806903,0.578414084966297,ar.L1=0.1746; ar.L2=0.568; ar.L3=0.2345; ar.L4=0.5784,False,0.02858596767093899,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among k>0 candidates with all AR p-values < 0.05 and Ljung-Box min p-value > 0.05
