,coef,std_error,z_value,p_value,ci_lower_95,ci_upper_95,IRR,IRR_ci_lower_95,IRR_ci_upper_95
const,11.234239580281809,0.00160734049114161,6989.334022377993,0.0,11.231089250808278,11.23738990975534,75677.7581309679,75439.72339981791,75916.54393238538
time,0.0010963903971012295,0.0001597331442583314,6.863887906244879,6.701122065419088e-12,0.0007833191872175591,0.0014094616069849,1.0010969916527697,1.0007836260618137,1.0014104553648286
outbreak_2014,0.011055804833845384,0.002577328822109857,4.289636905854668,1.7896546485797268e-05,0.006004333166193024,0.016107276501497743,1.0111171460946848,1.006022395306853,1.016237697983676
outbreak_2019,0.01790295641707007,0.002325855559861831,7.697363811419832,1.389020031844168e-14,0.013344363286498639,0.022461549547641502,1.0180641750006563,1.013433796670009,1.0227157095267603
outbreak_2025,0.02859771470978245,0.0038048517564924045,7.51611798304225,5.642663608970637e-14,0.021140342300543374,0.03605508711902153,1.0290105553898858,1.0213653823470665,1.0367129544478657
