mm_yr,count_year,forecast_cumulative_cases,ci_lower_95,ci_upper_95
2026-05-01,2026,82841.77715625781,82656.12049348965,83027.85082863425
2026-12-31,2026,82841.77715625781,82656.12049348965,83027.85082863425
