mm_yr,count_year,forecast_cumulative_cases,ci_lower_95,ci_upper_95
2026-05-01,2026,82841.77715625869,82278.67314904768,83408.734970426
2026-12-31,2026,82841.77715625869,82278.67314904768,83408.734970426
