,coef,std_error,z_value,p_value,ci_lower_95,ci_upper_95,IRR,IRR_ci_lower_95,IRR_ci_upper_95
const,11.23423444422773,0.001607365510045453,6989.222036940465,0.0,11.23108406571805,11.237384822737411,75677.36944690777,75439.33223905945,75916.15774454759
time,0.0010968660151975788,0.00015973544079476407,6.866766759712931,6.567331168145849e-12,0.0007837903041852111,0.0014099417262099464,1.0010974677927282,1.000784097548072,1.001410936161356
outbreak_2014,0.0110612988703132,0.0025773595908802926,4.291717348814037,1.7729654289663098e-05,0.006009766896978939,0.016112830843647463,1.0111227012244186,1.0060278617765652,1.016243342531232
outbreak_2019,0.017904413442370773,0.002325877867457221,7.697916426688764,1.3830277291970355e-14,0.013345776589715794,0.022463050295025752,1.0180656583469976,1.0134352289602664,1.0227172443658379
outbreak_2025,0.028581598504938126,0.003804906810595353,7.51177359333696,5.833160942687812e-14,0.02112411819164007,0.03603907881823618,1.028993971778621,1.0213488117382954,1.0366963585678992
alpha,3.699256616888133e-10,2.480305949969196e-08,0.014914517368045162,0.9881003780261074,-4.824317766411148e-08,4.898302898748911e-08,,,
