model,forecast_count_year,forecast_cases,ci_lower_95,ci_upper_95,actual_2026_cases_if_available,aic,order,n_scored,mae,rmse
AutoARIMA,2026,341.8220721422527,44.543686151265135,2623.0951925900454,1814.0,93.65358506851409,"(0, 0, 1)",30,193.65468134762705,452.27293697261325
Exponential smoothing,2026,535.5871077314442,0.0,1372.6953265782874,1814.0,372.54792351433093,"Holt damped trend, no seasonality, untransformed",30,255.90808615717532,419.9184888404466
AutoARIMAX,2026,2318.7554945134734,673.8198442857796,7979.324279229888,1814.0,71.46481292308084,"(0, 0, 0)",30,59.50260523380306,102.33284668177961
