mm_yr,count_year,forecast_cumulative_cases,ci_lower_95,ci_upper_95
2026-05-01,2026,82841.77445112182,82278.66169736134,83408.74113209631
2026-12-31,2026,82841.77445112182,82278.66169736134,83408.74113209631
